 "id" "state"  "teen"  "mort"
  1     AL      17.4    13.3
  2     AR      19.0    10.3
  3     AZ      13.8     9.4
  4     CA      10.9     8.9
  5     CO      10.2     8.6
  6     CT       8.8     9.1
  7     DE      13.2    11.5
  8     FL      13.8    11.0
  9     GA      17.0    12.5
 10     IA       9.2     8.5
 11     ID      10.8    11.3
 12     IL      12.5    12.1
 13     IN      14.0    11.3
 14     KS      11.5     8.9
 15     KY      17.4     9.8
 16     LA      16.8    11.9
 17     MA       8.3     8.5
 18     MD      11.7    11.7
 19     ME      11.6     8.8
 20     MI      12.3    11.4
 21     MN       7.3     9.2
 22     MO      13.4    10.7
 23     MS      20.5    12.4
 24     MT      10.1     9.6
 25     NB       8.9    10.1
 26     NC      15.9    11.5
 27     ND       8.0     8.4
 28     NH       7.7     9.1
 29     NJ       9.4     9.8
 30     NM      15.3     9.5
 31     NV      11.9     9.1
 32     NY       9.7    10.7
 33     OH      13.3    10.6
 34     OK      15.6    10.4
 35     OR      10.9     9.4
 36     PA      11.3    10.2
 37     RI      10.3     9.4
 38     SC      16.6    13.2
 39     SD       9.7    13.3
 40     TN      17.0    11.0
 41     TX      15.2     9.5
 42     UT       9.3     8.6
 43     VA      12.0    11.1
 44     VT       9.2    10.0
 45     WA      10.4     9.8
 46     WI       9.9     9.2
 47     WV      17.1    10.2
 48     WY      10.7    10.8
