"num_awards" "prog" "math"
"1" 1 "3" 41
"2" 1 "1" 41
"3" 1 "3" 44
"4" 1 "3" 42
"5" 1 "3" 40
"6" 1 "1" 42
"7" 1 "3" 46
"8" 1 "3" 40
"9" 1 "3" 33
"10" 1 "3" 46
"11" 1 "3" 40
"12" 0 "2" 38
"13" 1 "3" 44
"14" 1 "3" 37
"15" 1 "3" 40
"16" 1 "1" 39
"17" 1 "1" 43
"18" 0 "3" 38
"19" 1 "2" 45
"20" 0 "3" 39
"21" 1 "1" 42
"22" 1 "3" 45
"23" 1 "3" 40
"24" 0 "3" 40
"25" 1 "2" 43
"26" 1 "2" 49
"27" 1 "1" 44
"28" 1 "1" 46
"29" 0 "2" 46
"30" 1 "2" 41
"31" 0 "1" 42
"32" 0 "3" 47
"33" 1 "2" 43
"34" 1 "2" 49
"35" 1 "3" 40
"36" 1 "3" 39
"37" 1 "3" 49
"38" 0 "2" 42
"39" 0 "1" 43
"40" 0 "2" 41
"41" 0 "1" 57
"42" 0 "2" 50
"43" 0 "2" 44
"44" 0 "3" 39
"45" 0 "2" 52
"46" 1 "3" 41
"47" 0 "3" 39
"48" 0 "1" 39
"49" 0 "3" 52
"50" 1 "2" 48
"51" 3 "2" 45
"52" 2 "3" 40
"53" 3 "1" 46
"54" 3 "2" 50
"55" 0 "2" 43
"56" 0 "1" 43
"57" 1 "2" 54
"58" 1 "1" 42
"59" 2 "3" 45
"60" 2 "1" 54
"61" 3 "3" 47
"62" 1 "2" 45
"63" 0 "2" 43
"64" 1 "3" 40
"65" 0 "3" 52
"66" 1 "3" 52
"67" 0 "1" 45
"68" 1 "2" 49
"69" 1 "2" 53
"70" 0 "1" 54
"71" 2 "2" 50
"72" 0 "2" 48
"73" 0 "2" 51
"74" 0 "1" 41
"75" 1 "3" 51
"76" 0 "1" 46
"77" 0 "3" 55
"78" 0 "1" 46
"79" 2 "1" 61
"80" 1 "2" 45
"81" 1 "3" 54
"82" 1 "2" 54
"83" 1 "2" 51
"84" 0 "1" 49
"85" 1 "3" 56
"86" 2 "2" 53
"87" 1 "1" 49
"88" 3 "1" 57
"89" 0 "1" 42
"90" 1 "3" 46
"91" 1 "3" 45
"92" 1 "1" 55
"93" 1 "3" 47
"94" 0 "2" 50
"95" 1 "3" 41
"96" 0 "1" 52
"97" 1 "2" 57
"98" 1 "3" 53
"99" 1 "3" 51
"100" 1 "1" 57
"101" 1 "2" 51
"102" 0 "3" 40
"103" 2 "3" 50
"104" 2 "3" 57
"105" 0 "1" 35
"106" 1 "2" 49
"107" 0 "1" 50
"108" 1 "1" 55
"109" 0 "2" 48
"110" 0 "2" 52
"111" 1 "2" 53
"112" 1 "2" 59
"113" 2 "2" 66
"114" 0 "2" 57
"115" 1 "2" 54
"116" 0 "3" 57
"117" 1 "2" 54
"118" 0 "2" 54
"119" 0 "2" 54
"120" 2 "2" 49
"121" 1 "3" 51
"122" 3 "2" 58
"123" 1 "2" 60
"124" 1 "2" 51
"125" 1 "2" 63
"126" 1 "2" 50
"127" 1 "2" 53
"128" 0 "2" 53
"129" 0 "2" 55
"130" 1 "2" 56
"131" 0 "2" 49
"132" 1 "2" 61
"133" 0 "1" 49
"134" 0 "2" 57
"135" 0 "2" 66
"136" 0 "1" 56
"137" 3 "2" 60
"138" 1 "2" 57
"139" 1 "2" 59
"140" 1 "2" 58
"141" 0 "2" 57
"142" 3 "2" 64
"143" 0 "1" 60
"144" 0 "1" 54
"145" 1 "2" 61
"146" 1 "1" 58
"147" 0 "1" 56
"148" 0 "1" 60
"149" 0 "2" 55
"150" 3 "2" 57
"151" 0 "2" 62
"152" 0 "2" 56
"153" 0 "2" 51
"154" 2 "3" 56
"155" 0 "1" 61
"156" 1 "2" 63
"157" 5 "2" 61
"158" 0 "2" 67
"159" 0 "2" 48
"160" 1 "2" 61
"161" 0 "1" 57
"162" 0 "1" 48
"163" 2 "2" 65
"164" 4 "2" 62
"165" 1 "2" 61
"166" 0 "3" 53
"167" 1 "1" 58
"168" 1 "2" 64
"169" 3 "2" 65
"170" 1 "1" 56
"171" 1 "1" 63
"172" 3 "2" 57
"173" 2 "2" 72
"174" 0 "3" 66
"175" 0 "2" 62
"176" 1 "2" 58
"177" 1 "2" 63
"178" 3 "2" 64
"179" 2 "2" 72
"180" 0 "2" 64
"181" 6 "2" 69
"182" 4 "2" 70
"183" 1 "2" 66
"184" 0 "1" 58
"185" 2 "2" 62
"186" 2 "2" 67
"187" 1 "2" 64
"188" 2 "2" 63
"189" 1 "2" 68
"190" 1 "2" 75
"191" 0 "2" 69
"192" 1 "2" 65
"193" 2 "2" 71
"194" 5 "2" 71
"195" 1 "2" 60
"196" 2 "2" 71
"197" 2 "3" 75
"198" 1 "2" 71
"199" 0 "2" 72
"200" 3 "2" 73
